scope,finding_id,finding,rater_a,rater_b,n_items,percent_agreement,quadratic_weighted_kappa
finding_Lung_Opacity,4,Lung Opacity,chief_rad_01,rad_03,300,73.66666666666667,0.44184231069476965
finding_Lung_Opacity,4,Lung Opacity,chief_rad_01,rad_04,300,71.66666666666667,0.44247438928289984
finding_Lung_Opacity,4,Lung Opacity,chief_rad_01,rad_06,300,80.33333333333333,0.5517097581317765
finding_Lung_Opacity,4,Lung Opacity,rad_01,rad_02,300,69.66666666666667,0.3640728002292921
finding_Lung_Opacity,4,Lung Opacity,rad_01,rad_03,300,72.33333333333334,0.4698033707865169
finding_Lung_Opacity,4,Lung Opacity,rad_01,rad_04,300,67.66666666666666,0.41075243294564445
finding_Lung_Opacity,4,Lung Opacity,rad_01,rad_06,300,70.0,0.38873139617292707
finding_Lung_Opacity,4,Lung Opacity,rad_02,rad_03,300,71.0,0.3427518427518427
finding_Lung_Opacity,4,Lung Opacity,rad_02,rad_04,300,72.0,0.41867656153370436
finding_Lung_Opacity,4,Lung Opacity,rad_02,rad_06,300,79.66666666666666,0.4752318479981905
finding_Lung_Opacity,4,Lung Opacity,rad_03,rad_04,300,70.0,0.4217557251908397
finding_Lung_Opacity,4,Lung Opacity,rad_03,rad_06,300,75.33333333333333,0.4586614173228346
finding_Lung_Opacity,4,Lung Opacity,rad_04,rad_06,300,73.0,0.4637537239324727
finding_Lung_Lesion,5,Lung Lesion,chief_rad_01,rad_01,300,78.33333333333333,0.3621007553678701
finding_Lung_Lesion,5,Lung Lesion,chief_rad_01,rad_02,300,83.0,0.37614120511259885
finding_Lung_Lesion,5,Lung Lesion,chief_rad_01,rad_03,300,79.33333333333333,0.41465971635749443
finding_Lung_Lesion,5,Lung Lesion,chief_rad_01,rad_04,300,75.66666666666667,0.44613976197741834
finding_Lung_Lesion,5,Lung Lesion,chief_rad_01,rad_06,300,84.33333333333334,0.5697863036885535
finding_Lung_Lesion,5,Lung Lesion,rad_01,rad_02,300,86.0,0.4730679156908665
finding_Lung_Lesion,5,Lung Lesion,rad_01,rad_03,300,80.33333333333333,0.4562313973899107
finding_Lung_Lesion,5,Lung Lesion,rad_01,rad_04,300,78.0,0.4212218649517685
finding_Lung_Lesion,5,Lung Lesion,rad_01,rad_06,300,80.33333333333333,0.38710783473341337
finding_Lung_Lesion,5,Lung Lesion,rad_02,rad_03,300,82.66666666666667,0.36787996665740474
finding_Lung_Lesion,5,Lung Lesion,rad_02,rad_04,300,79.0,0.4736842105263158
finding_Lung_Lesion,5,Lung Lesion,rad_02,rad_06,300,84.33333333333334,0.4242306947938843
finding_Lung_Lesion,5,Lung Lesion,rad_03,rad_04,300,79.0,0.42150370081807553
finding_Lung_Lesion,5,Lung Lesion,rad_03,rad_06,300,79.0,0.44533154046558543
finding_Lung_Lesion,5,Lung Lesion,rad_04,rad_06,300,75.33333333333333,0.4239226033421284
finding_Edema,6,Edema,chief_rad_01,rad_01,300,95.66666666666667,0.11604714415231188
finding_Edema,6,Edema,chief_rad_01,rad_02,300,96.33333333333334,0.0
finding_Edema,6,Edema,chief_rad_01,rad_03,300,87.0,0.16402917297371677
finding_Edema,6,Edema,chief_rad_01,rad_04,300,78.66666666666666,0.11203572153440222
finding_Edema,6,Edema,chief_rad_01,rad_06,300,95.0,-0.021856372409878144
finding_Edema,6,Edema,rad_01,rad_02,300,98.66666666666667,0.0
finding_Edema,6,Edema,rad_01,rad_03,300,88.0,0.09195733640818693
finding_Edema,6,Edema,rad_01,rad_04,300,79.0,0.04674046740467408
finding_Edema,6,Edema,rad_01,rad_06,300,98.0,0.10785091197462326
finding_Edema,6,Edema,rad_02,rad_03,300,87.0,0.0
finding_Edema,6,Edema,rad_02,rad_04,300,78.33333333333333,0.0
finding_Edema,6,Edema,rad_02,rad_06,300,98.66666666666667,0.0
finding_Edema,6,Edema,rad_03,rad_04,300,76.0,0.2859487852921865
finding_Edema,6,Edema,rad_03,rad_06,300,88.33333333333333,0.2329658653207598
finding_Edema,6,Edema,rad_04,rad_06,300,79.66666666666666,0.10378292731233907
finding_Consolidation,7,Consolidation,chief_rad_01,rad_01,300,83.0,0.4158011869436202
finding_Consolidation,7,Consolidation,chief_rad_01,rad_02,300,90.66666666666666,0.3563021088769005
finding_Consolidation,7,Consolidation,chief_rad_01,rad_03,300,76.66666666666667,0.2867276166456494
finding_Consolidation,7,Consolidation,chief_rad_01,rad_04,300,77.66666666666666,0.23478161183079216
finding_Consolidation,7,Consolidation,chief_rad_01,rad_06,300,86.33333333333333,0.2651338766006984
finding_Consolidation,7,Consolidation,rad_01,rad_02,300,84.0,0.39956725567976925
finding_Consolidation,7,Consolidation,rad_01,rad_03,300,75.0,0.45436173795890866
finding_Consolidation,7,Consolidation,rad_01,rad_04,300,74.66666666666667,0.4210277054226852
finding_Consolidation,7,Consolidation,rad_01,rad_06,300,79.33333333333333,0.3239980685659103
finding_Consolidation,7,Consolidation,rad_02,rad_03,300,76.66666666666667,0.27932788654231544
finding_Consolidation,7,Consolidation,rad_02,rad_04,300,80.0,0.31963265763243365
finding_Consolidation,7,Consolidation,rad_02,rad_06,300,89.66666666666666,0.4019138755980861
finding_Consolidation,7,Consolidation,rad_03,rad_04,300,74.33333333333333,0.46194541300949865
finding_Consolidation,7,Consolidation,rad_03,rad_06,300,77.66666666666666,0.3771275439994205
finding_Consolidation,7,Consolidation,rad_04,rad_06,300,80.0,0.35777673984119573
finding_Pneumonia,8,Pneumonia,chief_rad_01,rad_01,300,81.0,0.31362579895409637
finding_Pneumonia,8,Pneumonia,chief_rad_01,rad_02,300,90.66666666666666,0.42493198120207765
finding_Pneumonia,8,Pneumonia,chief_rad_01,rad_03,300,75.0,0.3370108956348934
finding_Pneumonia,8,Pneumonia,chief_rad_01,rad_04,300,79.33333333333333,0.3696615356506645
finding_Pneumonia,8,Pneumonia,chief_rad_01,rad_06,300,88.66666666666667,0.29111531190926276
finding_Pneumonia,8,Pneumonia,rad_01,rad_02,300,84.66666666666667,0.2759004827330115
finding_Pneumonia,8,Pneumonia,rad_01,rad_03,300,70.0,0.28551705094574076
finding_Pneumonia,8,Pneumonia,rad_01,rad_04,300,75.0,0.38372503975967487
finding_Pneumonia,8,Pneumonia,rad_01,rad_06,300,81.33333333333333,0.27017744705208924
finding_Pneumonia,8,Pneumonia,rad_02,rad_03,300,72.66666666666667,0.20947149643705465
finding_Pneumonia,8,Pneumonia,rad_02,rad_04,300,79.33333333333333,0.25866194984913127
finding_Pneumonia,8,Pneumonia,rad_02,rad_06,300,91.0,0.34561318468250124
finding_Pneumonia,8,Pneumonia,rad_03,rad_04,300,75.66666666666667,0.4544985968730313
finding_Pneumonia,8,Pneumonia,rad_03,rad_06,300,75.0,0.29716148309113133
finding_Pneumonia,8,Pneumonia,rad_04,rad_06,300,79.33333333333333,0.27460905721775297
finding_Atelectasis,9,Atelectasis,chief_rad_01,rad_01,300,65.33333333333333,0.16993415698749714
finding_Atelectasis,9,Atelectasis,chief_rad_01,rad_02,300,82.33333333333334,0.34730750541149447
finding_Atelectasis,9,Atelectasis,chief_rad_01,rad_03,300,83.0,0.45061932497392987
finding_Atelectasis,9,Atelectasis,chief_rad_01,rad_04,300,63.0,0.1130529047517369
finding_Atelectasis,9,Atelectasis,chief_rad_01,rad_06,300,85.66666666666667,0.4451901565995525
finding_Atelectasis,9,Atelectasis,rad_01,rad_02,300,73.33333333333333,0.39802766744281604
finding_Atelectasis,9,Atelectasis,rad_01,rad_03,300,68.0,0.34834552168561295
finding_Atelectasis,9,Atelectasis,rad_01,rad_04,300,64.66666666666666,0.3302252281830719
finding_Atelectasis,9,Atelectasis,rad_01,rad_06,300,67.0,0.26748057713651496
finding_Atelectasis,9,Atelectasis,rad_02,rad_03,300,78.66666666666666,0.4135790342226239
finding_Atelectasis,9,Atelectasis,rad_02,rad_04,300,70.33333333333334,0.37368123866979697
finding_Atelectasis,9,Atelectasis,rad_02,rad_06,300,79.0,0.315112540192926
finding_Atelectasis,9,Atelectasis,rad_03,rad_04,300,64.0,0.22990381720515307
finding_Atelectasis,9,Atelectasis,rad_03,rad_06,300,80.0,0.4495412844036697
finding_Atelectasis,9,Atelectasis,rad_04,rad_06,300,63.66666666666667,0.18036809815950916
finding_Pneumothorax,10,Pneumothorax,chief_rad_01,rad_01,300,96.66666666666667,0.4343891402714932
finding_Pneumothorax,10,Pneumothorax,chief_rad_01,rad_02,300,98.0,0.5681381957773513
finding_Pneumothorax,10,Pneumothorax,chief_rad_01,rad_03,300,97.0,0.43210499747602227
finding_Pneumothorax,10,Pneumothorax,chief_rad_01,rad_04,300,96.66666666666667,0.2583436341161929
finding_Pneumothorax,10,Pneumothorax,chief_rad_01,rad_06,300,97.66666666666667,0.4377811094452775
finding_Pneumothorax,10,Pneumothorax,rad_01,rad_02,300,98.66666666666667,0.6644295302013423
finding_Pneumothorax,10,Pneumothorax,rad_01,rad_03,300,96.66666666666667,0.470684039087948
finding_Pneumothorax,10,Pneumothorax,rad_01,rad_04,300,97.0,0.08536585365853655
finding_Pneumothorax,10,Pneumothorax,rad_01,rad_06,300,98.66666666666667,0.7474747474747474
finding_Pneumothorax,10,Pneumothorax,rad_02,rad_03,300,97.66666666666667,0.3765984654731458
finding_Pneumothorax,10,Pneumothorax,rad_02,rad_04,300,97.66666666666667,-0.006711409395973034
finding_Pneumothorax,10,Pneumothorax,rad_02,rad_06,300,99.66666666666667,0.6651785714285714
finding_Pneumothorax,10,Pneumothorax,rad_03,rad_04,300,96.33333333333334,0.19052088221492258
finding_Pneumothorax,10,Pneumothorax,rad_03,rad_06,300,98.0,0.6357258499730167
finding_Pneumothorax,10,Pneumothorax,rad_04,rad_06,300,97.66666666666667,0.19137466307277617
finding_Pleural_Effusion,11,Pleural Effusion,chief_rad_01,rad_01,300,77.66666666666666,0.559492231906025
finding_Pleural_Effusion,11,Pleural Effusion,chief_rad_01,rad_02,300,86.66666666666667,0.5829033367733059
finding_Pleural_Effusion,11,Pleural Effusion,chief_rad_01,rad_03,300,79.66666666666666,0.5614821723222613
finding_Pleural_Effusion,11,Pleural Effusion,chief_rad_01,rad_04,300,75.66666666666667,0.4934233913970849
finding_Pleural_Effusion,11,Pleural Effusion,chief_rad_01,rad_06,300,86.0,0.6137513552584026
finding_Pleural_Effusion,11,Pleural Effusion,rad_01,rad_02,300,80.66666666666666,0.6261177921677459
finding_Pleural_Effusion,11,Pleural Effusion,rad_01,rad_03,300,78.0,0.6707943758475483
finding_Pleural_Effusion,11,Pleural Effusion,rad_01,rad_04,300,73.66666666666667,0.5747696669029057
finding_Pleural_Effusion,11,Pleural Effusion,rad_01,rad_06,300,80.66666666666666,0.6604595541129239
finding_Pleural_Effusion,11,Pleural Effusion,rad_02,rad_03,300,77.0,0.47732254257292184
